idx,info_gain,feature,n_unique
408,0,phr_(ADJP VBN),3
409,0,phr_(ADJP WRB),4
410,0,phr_(ADVP NN),2
411,0,phr_(ADVP PRP),4
412,0,phr_(ADVP CC),8
413,0,phr_(ADVP CD),4
414,0,phr_(ADVP DT),7
415,0,phr_(ADVP FW),4
416,0,phr_(ADVP IN),7
417,0,phr_(ADVP JJ),4
418,0,phr_(ADVP JJR),8
419,0,phr_(ADVP JJS),4
421,0,phr_(ADVP NNS),6
422,0,phr_(ADVP NNP),6
423,0,phr_(ADVP PDT),6
424,0,phr_(ADVP RB),3
425,0,phr_(ADVP RBR),3
426,0,phr_(ADVP RBS),5
427,0,phr_(ADVP RP),3
429,0,phr_(ADVP TO),8
430,0,phr_(ADVP VB),4
431,0,phr_(ADVP WRB),5
432,0,phr_(CONJP NN),3
433,0,phr_(CONJP CC),3
434,0,phr_(CONJP IN),2
435,0,phr_(CONJP LS),5
436,0,phr_(CONJP RB),2
437,0,phr_(CONJP TO),6
438,0,phr_(CONJP VB),4
439,0,phr_(FRAG CC),1
440,0,phr_(FRAG DT),8
441,0,phr_(FRAG IN),3
442,0,phr_(FRAG JJ),3
443,0,phr_(FRAG JJR),8
444,0,phr_(FRAG LS),2
445,0,phr_(FRAG RB),4
446,0,phr_(FRAG SYM),3
447,0,phr_(FRAG WRB),3
448,0,phr_(INTJ NN),2
449,0,phr_(INTJ FW),7
450,0,phr_(INTJ JJ),5
451,0,phr_(INTJ NNP),4
452,0,phr_(INTJ PRP$),6
453,0,phr_(INTJ RB),2
454,0,phr_(INTJ UH),5
455,0,phr_(INTJ VB),3
456,0,phr_(INTJ WRB),3
457,0,phr_(LST LS),4
458,0,phr_(NAC NNP),14
459,0,phr_(NP NN),6
460,0,phr_(NP PRP),3
461,0,phr_(NP CC),6
462,0,phr_(NP CD),4
469,0,phr_(NP JJS),41
470,0,phr_(NP LS),5
473,0,phr_(NP NNPS),11
474,0,phr_(NP PDT),8
477,0,phr_(NP RB),22
478,0,phr_(NP RBR),8
482,0,phr_(NP TO),5
483,0,phr_(NP UH),5
484,0,phr_(NP VB),3
485,0,phr_(NP VBD),5
486,0,phr_(NP VBG),4
487,0,phr_(NP VBN),6
488,0,phr_(NP VBP),5
489,0,phr_(NP VBZ),4
490,0,phr_(NP WDT),8
491,0,phr_(NP WP),8
492,0,phr_(NP WP$),3
493,0,phr_(NP WRB),3
494,0,phr_(NX NN),5
495,0,phr_(NX CC),8
496,0,phr_(NX CD),2
497,0,phr_(NX DT),4
498,0,phr_(NX JJ),7
499,0,phr_(NX NNS),3
500,0,phr_(NX NNP),2
501,0,phr_(NX POS),2
502,0,phr_(PP NN),3
503,0,phr_(PP CC),5
504,0,phr_(PP DT),7
505,0,phr_(PP IN),3
506,0,phr_(PP JJ),6
507,0,phr_(PP JJR),10
508,0,phr_(PP LS),3
510,0,phr_(PP NNP),5
511,0,phr_(PP POS),3
512,0,phr_(PP PRP$),3
513,0,phr_(PP RB),3
514,0,phr_(PP RBR),7
515,0,phr_(PP RP),2
516,0,phr_(PP SYM),2
517,0,phr_(PP TO),6
518,0,phr_(PP UH),3
519,0,phr_(PP VB),4
520,0,phr_(PP VBG),4
522,0,phr_(PP VBP),3
523,0,phr_(PP VBZ),3
524,0,phr_(PRN NN),6
525,0,phr_(PRN CC),5
526,0,phr_(PRN EX),2
527,0,phr_(PRN IN),2
528,0,phr_(PRN JJ),3
529,0,phr_(PRN LS),7
530,0,phr_(PRN NNS),1
531,0,phr_(PRN RB),3
532,0,phr_(PRN UH),3
533,0,phr_(PRT CC),3
534,0,phr_(PRT IN),3
535,0,phr_(PRT RB),3
536,0,phr_(PRT RP),2
537,0,phr_(PRT SYM),3
538,0,phr_(QP NN),6
539,0,phr_(QP CC),4
541,0,phr_(QP DT),2
542,0,phr_(QP IN),5
543,0,phr_(QP JJ),5
544,0,phr_(QP JJR),37
545,0,phr_(QP JJS),7
546,0,phr_(QP NNS),8
547,0,phr_(QP NNP),4
548,0,phr_(QP PDT),8
549,0,phr_(QP RB),5
550,0,phr_(QP RBR),8
551,0,phr_(QP TO),2
552,0,phr_(UCP NN),3
553,0,phr_(UCP CC),7
554,0,phr_(UCP IN),3
555,0,phr_(UCP JJ),4
556,0,phr_(UCP NNP),4
557,0,phr_(UCP RB),7
558,0,phr_(VP NN),2
559,0,phr_(VP CC),6
560,0,phr_(VP DT),4
561,0,phr_(VP IN),3
562,0,phr_(VP JJ),6
564,0,phr_(VP MD),5
565,0,phr_(VP NNS),4
566,0,phr_(VP NNP),7
567,0,phr_(VP NNPS),8
569,0,phr_(VP RB),3
570,0,phr_(VP SYM),5
571,0,phr_(VP TO),4
572,0,phr_(VP UH),3
574,0,phr_(VP VBD),10
576,0,phr_(VP VBN),3
583,0,phr_(WHNP NN),7
584,0,phr_(WHNP PRP),4
585,0,phr_(WHNP CD),3
586,0,phr_(WHNP DT),7
587,0,phr_(WHNP IN),5
588,0,phr_(WHNP JJ),2
589,0,phr_(WHNP LS),3
590,0,phr_(WHNP NNS),4
591,0,phr_(WHNP NNPS),4
592,0,phr_(WHNP RB),3
593,0,phr_(WHNP UH),2
594,0,phr_(WHNP VBG),6
595,0,phr_(WHNP WDT),4
596,0,phr_(WHNP WP),5
597,0,phr_(WHNP WP$),3
598,0,phr_(WHNP WRB),3
601,0,phr_(X DT),3
602,0,phr_(X IN),5
603,0,phr_(X JJR),51
604,0,phr_(X LS),15
605,0,phr_(X NNP),21
606,0,phr_(X RB),20
607,0,phr_(X SYM),31
608,0,phr_(X VBG),2
609,0,phr_(X WP),58
610,0,phr_(ADJP ADVP),18
611,0,phr_(ADJP CONJP),38
612,0,phr_(ADJP FRAG),11
613,0,phr_(ADJP NP),3
614,0,phr_(ADJP PP),6
615,0,phr_(ADJP PRN),2
616,0,phr_(ADJP PRT),2
617,0,phr_(ADJP QP),45
619,0,phr_(ADVP NP),6
620,0,phr_(ADVP PP),3
621,0,phr_(ADVP PRN),6
622,0,phr_(ADVP QP),3
623,0,phr_(FRAG ADJP),8
624,0,phr_(FRAG ADVP),7
625,0,phr_(FRAG CONJP),3
626,0,phr_(FRAG INTJ),2
627,0,phr_(FRAG NP),9
628,0,phr_(FRAG PP),11
629,0,phr_(FRAG UCP),3
630,0,phr_(FRAG VP),7
632,0,phr_(FRAG WHNP),10
633,0,phr_(FRAG X),2
634,0,phr_(INTJ PP),11
635,0,phr_(NAC ADVP),3
636,0,phr_(NAC NP),6
637,0,phr_(NAC PP),16
638,0,phr_(NP ADJP),3
639,0,phr_(NP ADVP),3
640,0,phr_(NP CONJP),4
641,0,phr_(NP FRAG),3
644,0,phr_(NP NAC),6
645,0,phr_(NP NX),5
646,0,phr_(NP PP),4
647,0,phr_(NP PRN),6
648,0,phr_(NP PRT),3
649,0,phr_(NP QP),5
651,0,phr_(NP UCP),22
652,0,phr_(NP VP),2
653,0,phr_(NP X),25
654,0,phr_(NX ADJP),5
655,0,phr_(NX NP),5
657,0,phr_(PP ADJP),17
658,0,phr_(PP ADVP),3
659,0,phr_(PP CONJP),4
660,0,phr_(PP FRAG),4
661,0,phr_(PP NP),6
662,0,phr_(PP PRN),8
663,0,phr_(PP UCP),3
664,0,phr_(PP VP),6
666,0,phr_(PP X),4
667,0,phr_(PRN ADJP),3
668,0,phr_(PRN ADVP),3
669,0,phr_(PRN CONJP),5
670,0,phr_(PRN FRAG),7
671,0,phr_(PRN INTJ),7
672,0,phr_(PRN NP),6
673,0,phr_(PRN PP),3
674,0,phr_(PRN VP),9
675,0,phr_(PRN X),4
676,0,phr_(QP ADVP),21
677,0,phr_(QP NP),8
678,0,phr_(RRC ADJP),6
679,0,phr_(RRC ADVP),6
680,0,phr_(RRC NP),3
681,0,phr_(UCP ADJP),3
682,0,phr_(UCP ADVP),4
683,0,phr_(UCP CONJP),5
684,0,phr_(UCP FRAG),4
685,0,phr_(UCP NP),9
686,0,phr_(UCP PP),5
687,0,phr_(UCP PRN),2
688,0,phr_(UCP VP),3
689,0,phr_(VP ADJP),8
690,0,phr_(VP ADVP),5
691,0,phr_(VP CONJP),2
692,0,phr_(VP FRAG),4
695,0,phr_(VP PP),4
696,0,phr_(VP PRN),6
697,0,phr_(VP PRT),4
700,0,phr_(VP X),8
702,0,phr_(WHADJP PP),5
703,0,phr_(WHNP ADJP),3
704,0,phr_(WHNP NP),7
705,0,phr_(WHNP PP),4
706,0,phr_(WHNP PRN),3
707,0,phr_(WHNP QP),5
708,0,phr_(WHNP WHADJP),6
709,0,phr_(X ADJP),6
710,0,phr_(X ADVP),3
711,0,phr_(X FRAG),2
712,0,phr_(X NP),6
713,0,phr_(X PP),5
714,0,phr_(X VP),3
715,0,NA,5
716,0,NA,24
717,0,NA,5
718,0,NA,3
